timestamp,symbol,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10
20/8/21 0:00,LINKUSDT.HB,27.0895,27.0854,27.0824,27.0798,27.0796,27.079,27.0773,27.0772,27.0769,27.0679,3.08,111.87,4.09,40.5,7.4,2.5,30.03,2.5,2.5,83.23,27.0986,27.0998,27.0999,27.1045,27.1069,27.113,27.1175,27.1176,27.1181,27.133,95,14.15,9.98,95,20.25,19.76,23.51,19.76,55.96,6.262166752
20/8/21 0:00,LINKUSDT.HB,27.0896,27.0799,27.0797,27.0796,27.0783,27.0772,27.0769,27.0738,27.0698,27.0692,0.4,7.16,4.42,95,26.25,2.5,2.5,36.92,17.33,4.39,27.0954,27.0964,27.1034,27.1045,27.1074,27.1093,27.1094,27.1162,27.1163,27.1231,22,95,14.15,95,22.28,314.16,1.38,80.1,54.56,55.66
20/8/21 0:00,LINKUSDT.HB,27.0797,27.0773,27.0772,27.0769,27.0738,27.072,27.0706,27.0692,27.0691,27.068,1.25,1.75,2.4,2.5,36.92,16.42,44.55,2.94,38.51,30.1,27.0885,27.0886,27.0887,27.0895,27.0927,27.0932,27.0978,27.1066,27.1072,27.1113,18.97,19.83,10.99,3.36,22,95,22.28,1.38,1.78,55.11
20/8/21 0:00,LINKUSDT.HB,27.0813,27.0812,27.0809,27.0808,27.0807,27.0772,27.0769,27.0738,27.0721,27.072,306.45,95,432.95,4.47,95,2.3,2.5,36.92,2.28,16.42,27.0885,27.0886,27.0895,27.0977,27.0978,27.1045,27.1065,27.1066,27.1118,27.1135,17.59,17.59,3.36,22,22.28,4.44,1.21,1.38,0.77,36.93
20/8/21 0:00,LINKUSDT.HB,27.0815,27.0813,27.0809,27.0782,27.0778,27.0772,27.0769,27.0768,27.0738,27.072,95,154.18,432.95,44.55,18.45,2.3,2.5,151.45,36.92,16.42,27.0894,27.0895,27.0978,27.1032,27.1041,27.1045,27.1048,27.1066,27.1076,27.1111,17.59,3.36,22.28,22,12.16,4.44,80,1.38,60,122.09
20/8/21 0:00,LINKUSDT.HB,27.0937,27.0898,27.0869,27.0868,27.086,27.0859,27.0858,27.0832,27.0808,27.0795,10,4.86,95,40,44.55,0.32,36.9,95,20,113.8,27.0976,27.1006,27.1044,27.1045,27.1075,27.1085,27.1093,27.1133,27.1134,27.1135,17.59,0.093013439,1.66,4.44,22,13.13,22.28,100,123.93,2.5
20/8/21 0:00,LINKUSDT.HB,27.1034,27.1033,27.102,27.1019,27.0999,27.0968,27.0954,27.0928,27.0888,27.0869,320.98,95,90,140.7,106,20,96.26,16.42,115,28.97,27.1264,27.1317,27.1329,27.133,27.1333,27.1344,27.1345,27.135,27.1355,27.1357,3.08,24.3,17.02,6.262166752,0.23,2.07,0.37,36.9,0.34,8.69
20/8/21 0:00,LINKUSDT.HB,27.1031,27.103,27.1024,27.1021,27.1019,27.0999,27.0998,27.0962,27.0954,27.0928,4.31,1.11,410.56,362.04,45.7,106,6.06,36.89,410.72,16.42,27.1112,27.1194,27.1196,27.1197,27.1211,27.1221,27.1264,27.1316,27.1317,27.133,6.43114875,22,0.81,95,13.95,95,3.08,13.33,24.3,6.262166752
20/8/21 0:00,LINKUSDT.HB,27.1,27.0999,27.0998,27.0962,27.0934,27.0889,27.0888,27.0811,27.079,27.078,4.31,106,6.06,36.89,48.6,79.99,115,6.94,2.5,111.87,27.1112,27.1143,27.1157,27.1158,27.118,27.1181,27.1214,27.1264,27.1329,27.133,1.73,95,22,95,13.95,13.95,24.3,3.08,0.97,6.262166752
20/8/21 0:00,LINKUSDT.HB,27.0935,27.0902,27.0901,27.0891,27.0858,27.0851,27.0849,27.0847,27.0836,27.079,503.5,3.37,16.42,34.34,23.19,36.9,48.6,59.65,38.51,2.5,27.1094,27.1095,27.1109,27.111,27.1115,27.1221,27.1264,27.127,27.1281,27.1293,17.48,95,13.95,108.95,24.3,54.66,3.08,55.11,56.06,314.16
20/8/21 0:00,LINKUSDT.HB,27.0891,27.0844,27.0791,27.079,27.078,27.0772,27.0769,27.0699,27.0698,27.0691,34.34,48.6,3.37,2.5,111.87,2.3,2.5,83.99,60.4,38.52,27.0969,27.0996,27.0997,27.1023,27.1121,27.1171,27.1217,27.1218,27.1221,27.1264,10,11.84,11.84,1.95,24.3,54.48,88.03,36.26,54.66,3.08
20/8/21 0:00,LINKUSDT.HB,27.0966,27.0892,27.0891,27.0878,27.0858,27.0844,27.0828,27.0826,27.0815,27.079,18.42,10.72,26.48,10,40,48.6,36.9,40,73.81,2.5,27.1023,27.1035,27.1036,27.1057,27.1058,27.1071,27.1078,27.1092,27.1121,27.1174,95,22,20,30,95,10.63,40,18.45,24.3,314.16
20/8/21 0:00,LINKUSDT.HB,27.0954,27.0953,27.0952,27.0945,27.0944,27.0898,27.0891,27.0878,27.0858,27.0851,9.23,355.7,54.21,62.06,49.06,10,26.48,18.44,60,36.91,27.1021,27.1022,27.1071,27.1115,27.1135,27.1136,27.1157,27.1181,27.1188,27.1212,11.84,11.84,11.84,22,1.51,20,30,56.04,80,24.3
20/8/21 0:00,LINKUSDT.HB,27.0956,27.0954,27.0946,27.0945,27.0944,27.0908,27.0898,27.0891,27.0862,27.0851,442.93,92.02,54.21,62.06,48.6,24,10,26.48,16.42,36.91,27.1066,27.1133,27.1134,27.1136,27.1187,27.1203,27.1212,27.1217,27.1242,27.1246,11.84,1.2,22,20,100,6.44,24.3,88.03,18.44,55.2
20/8/21 0:00,LINKUSDT.HB,27.0947,27.0946,27.0925,27.0891,27.0888,27.0835,27.0828,27.0791,27.079,27.0772,5.73,63.27,36.9,26.48,54.21,48.6,13.11,84.02,2.5,2.3,27.1058,27.1059,27.106,27.111,27.1203,27.1217,27.1246,27.1264,27.1268,27.1278,4.98,11.84,128.4800438,24.3,6.44,88.03,36.9,3.08,55.73,147.65
20/8/21 0:00,LINKUSDT.HB,27.0949,27.0948,27.0946,27.0928,27.0924,27.0919,27.0891,27.0878,27.0791,27.079,7.36,62.06,63.27,48.6,36.9,54.21,26.48,24,26.82,2.5,27.1094,27.1098,27.1102,27.1103,27.1142,27.1192,27.1203,27.1217,27.1233,27.1264,22,95,11.84,101.684546,24.3,14.52,6.44,88.03,36.9,3.08
20/8/21 0:00,LINKUSDT.HB,27.1005,27.0995,27.0989,27.0984,27.0948,27.0939,27.0938,27.0928,27.0924,27.0891,22,9.54,95,95,62.06,54.21,20,48.6,36.9,26.48,27.1041,27.1087,27.1088,27.1141,27.1142,27.1217,27.1233,27.1264,27.1267,27.1277,11.84,11.84,20.24,22,24.3,88.03,36.9,3.08,100,6.44
